pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         174891671 function calls (149845281 primitive calls) in 105.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.002    0.000 traceback.py:318(extract)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
       74    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      601    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 __init__.py:86(<module>)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
    54/10    0.000    0.000    0.001    0.000 pyparsing.py:4121(streamline)
      263    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1530(_parseNoCache)
     1800    0.001    0.000    0.001    0.000 pos_vec.py:31(copy)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:3732(parseImpl)
      630    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
     55/6    0.000    0.000    0.001    0.000 pyparsing.py:3891(streamline)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
     3089    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5428(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5391(_makeTags)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
      114    0.000    0.000    0.001    0.000 version.py:69(__init__)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        2    0.000    0.000    0.001    0.001 pyparsing.py:5264(srange)
       83    0.000    0.000    0.001    0.000 pyparsing.py:2005(__add__)
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3592(__init__)
        7    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
     2792    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      278    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      114    0.000    0.000    0.001    0.000 version.py:152(_legacy_cmpkey)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
      336    0.001    0.000    0.001    0.000 pyparsing.py:1291(__init__)
      112    0.000    0.000    0.001    0.000 traceback.py:282(line)
       27    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
       58    0.000    0.000    0.001    0.000 __init__.py:2046(<genexpr>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        5    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3720(__init__)
     5552    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      199    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       86    0.001    0.000    0.001    0.000 {built-in method pygame.draw.line}
       84    0.000    0.000    0.001    0.000 linecache.py:15(getline)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:5(<module>)
        1    0.001    0.001    0.001    0.001 core.py:203(<listcomp>)
       44    0.000    0.000    0.001    0.000 core.py:146(get_object_signature)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
    23/10    0.000    0.000    0.001    0.000 pyparsing.py:3897(parseImpl)
       84    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
      423    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:4096(parseImpl)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
     2103    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      798    0.000    0.000    0.001    0.000 __init__.py:2060(dist_factory)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6567(__init__)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
      950    0.001    0.000    0.001    0.000 network.py:47(<listcomp>)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     8500    0.001    0.000    0.001    0.000 network.py:41(mutate)
       26    0.000    0.000    0.001    0.000 core.py:6572(getdoc)
        1    0.000    0.000    0.001    0.001 specifiers.py:207(LegacySpecifier)
       53    0.000    0.000    0.001    0.000 __init__.py:1477(_fn)
     1353    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
       24    0.000    0.000    0.001    0.000 __init__.py:3268(<genexpr>)
       35    0.000    0.000    0.001    0.000 __init__.py:1409(has_metadata)
       15    0.000    0.000    0.001    0.000 arrayprint.py:1499(_array_str_implementation)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:4647(streamline)
        1    0.000    0.000    0.001    0.001 __init__.py:2398(EntryPoint)
      4/3    0.000    0.000    0.001    0.000 pyparsing.py:4311(parseImpl)
     2094    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       16    0.000    0.000    0.001    0.000 __init__.py:1422(get_metadata_lines)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
       15    0.001    0.000    0.001    0.000 arrayprint.py:463(wrapper)
       23    0.000    0.000    0.001    0.000 __init__.py:2767(activate)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
     1571    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      370    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
       98    0.000    0.000    0.001    0.000 enum.py:836(__and__)
       16    0.000    0.000    0.001    0.000 __init__.py:1416(get_metadata)
      399    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1032    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
       59    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:785(source_to_code)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
       48    0.000    0.000    0.001    0.000 pyparsing.py:2135(__or__)
      277    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.001    0.001    0.001    0.001 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 __init__.py:959(Environment)
        1    0.000    0.000    0.001    0.001 __init__.py:177(get_supported_platform)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:387(get_build_platform)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
      277    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
       83    0.000    0.000    0.001    0.000 pyparsing.py:4078(__init__)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
       48    0.000    0.000    0.001    0.000 pyparsing.py:3884(__init__)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.001    0.001 sprite.py:67(<module>)
       17    0.001    0.000    0.001    0.000 main.py:94(<listcomp>)
      480    0.000    0.000    0.001    0.000 version.py:135(_parse_version_parts)
      258    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       56    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      128    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
       50    0.000    0.000    0.001    0.000 re.py:185(sub)
      811    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
       53    0.000    0.000    0.001    0.000 core.py:892(__init__)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
      174    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
       70    0.000    0.000    0.001    0.000 version.py:248(__str__)
